OrderID,OrderDate,CustomerName,Country,Category,Sub-Category,ProductName,Quantity,UnitPrice,Discount,ShippingCost,Profit
ORD100017,2025-05-03,Michael Smith,Australia,Clothing,Shoes,Shoes Sister,5,322.82,0.02,14.46,154.09
ORD100018,2023-11-13,John Byrd,France,Clothing,Shoes,Shoes Former,10,111.97,0.04,36.09,69.02
ORD100019,2024-06-14,Jennifer Mann,UK,Electronics,Laptops,Laptops Step,2,625.0,0.01,35.92,74.38
ORD100020,2023-10-15,James Hart,Australia,Clothing,Jackets,Jackets Outside,6,901.46,0.24,44.34,975.23
ORD100021,2024-03-28,Robert Gentry,Australia,Electronics,Phones,Phones Pm,10,812.13,0.22,47.25,1658.27
ORD100022,2024-08-16,Abigail Anderson DDS,UK,Home,Furniture,Furniture Story,4,967.42,0.25,14.17,159.27
ORD100023,2024-06-06,David Martin,India,Home,Furniture,Furniture Mind,5,932.57,0.1,6.83,437.91
ORD100024,2025-02-17,Allison Mueller,Australia,Electronics,Laptops,Laptops Whether,1,918.99,0.11,43.53,76.4
ORD100025,2024-07-29,Cindy Cox,Canada,Electronics,Phones,Phones Lawyer,8,109.45,0.28,8.43,131.27
ORD100026,2023-11-13,Brian Carlson,France,Electronics,Laptops,Laptops Summer,3,999.69,0.02,22.13,586.12
ORD100027,2024-09-04,Scott Bates,Australia,Electronics,Phones,Phones Receive,1,166.67,0.29,24.11,8.52
ORD100028,2024-08-02,Amy Cannon,Canada,Electronics,Phones,Phones Beat,4,261.86,0.3,25.04,71.32
ORD100029,2024-03-24,Dana Cunningham,Canada,Clothing,Shoes,Shoes Case,1,366.31,0.22,36.02,84.66
ORD100030,2024-07-16,Lisa Lewis,India,Electronics,Laptops,Laptops Spring,3,401.64,0.21,26.79,119.0
ORD100031,2025-05-04,Nicholas Vega,France,Electronics,Laptops,Laptops Watch,10,216.44,0.2,11.45,343.16
ORD100032,2024-08-13,Sean Carlson,France,Clothing,Shirts,Shirts Figure,8,170.08,0.15,18.03,220.59
ORD100033,2023-08-08,Joseph Roach,Canada,Clothing,Shirts,Shirts Way,7,608.84,0.22,47.11,915.82
ORD100034,2024-02-14,Lee Barnett,USA,Home,Decor,Decor Traditional,8,667.57,0.13,41.55,961.51
ORD100035,2024-06-22,Stacey Bailey,India,Home,Furniture,Furniture Again,4,807.82,0.19,14.24,654.81
ORD100036,2024-06-25,Daniel Reynolds,Canada,Home,Decor,Decor He,2,603.53,0.28,42.73,50.61
ORD100037,2023-11-08,James Wells,India,Clothing,Jackets,Jackets Deep,7,415.14,0.17,11.99,559.05
ORD100038,2023-07-15,Raymond Turner,Australia,Electronics,Phones,Phones Natural,6,346.25,0.24,27.34,99.31
ORD100039,2023-09-01,Lisa Salazar,USA,Electronics,Phones,Phones Listen,10,954.4,0.3,25.09,928.22
ORD100040,2024-08-31,Gary Garcia,UK,Home,Kitchen,Kitchen Good,8,979.15,0.21,26.39,1046.51
ORD100041,2024-11-11,Robin Anthony,Australia,Home,Furniture,Furniture Window,1,880.97,0.25,48.12,114.02
ORD100042,2024-10-04,Christine Kemp,India,Home,Furniture,Furniture White,4,841.39,0.01,5.04,779.25
ORD100043,2024-04-22,Rebecca Calderon,India,Home,Decor,Decor Future,8,514.08,0.18,32.27,301.76
ORD100044,2025-06-07,Jason Jones,UK,Electronics,Laptops,Laptops Wait,9,590.97,0.0,30.04,602.48
ORD100045,2024-12-05,Scott Valdez,Germany,Clothing,Shirts,Shirts Create,4,691.15,0.26,37.16,492.73
ORD100046,2024-05-11,Steve Carpenter,India,Home,Kitchen,Kitchen Point,8,903.06,0.09,43.11,1705.62
ORD100047,2023-07-15,Roberta Rivas,Germany,Electronics,Phones,Phones Adult,5,577.85,0.08,14.04,735.88
ORD100048,2024-04-13,Alice Mcgee,Australia,Home,Kitchen,Kitchen Law,1,825.94,0.06,21.59,54.86
ORD100049,2023-12-10,Thomas Elliott,India,Home,Furniture,Furniture Test,6,375.55,0.13,47.93,267.53
ORD100050,2025-06-15,Mr. Troy Johnson,USA,Electronics,Laptops,Laptops Reason,4,480.72,0.03,39.54,93.57
ORD100051,2025-04-09,Justin Maxwell,Germany,Home,Furniture,Furniture Nice,2,167.58,0.02,44.79,38.16
ORD100052,2025-01-25,Monique Vargas,Australia,Clothing,Shirts,Shirts Head,5,13.83,0.18,33.45,3.71
ORD100053,2023-07-06,Thomas Holloway,India,Clothing,Shirts,Shirts Pretty,5,671.23,0.13,47.66,489.43
ORD100054,2023-11-29,Kyle Hernandez,Canada,Home,Furniture,Furniture Reflect,9,110.83,0.03,36.91,243.27
ORD100055,2023-07-07,Brenda Jones,Australia,Home,Kitchen,Kitchen Time,9,939.9,0.03,19.95,1046.62
ORD100056,2023-11-05,Manuel Hobbs,Canada,Home,Furniture,Furniture Make,6,501.06,0.18,34.0,485.51
ORD100057,2024-04-20,Latoya Shields,France,Home,Kitchen,Kitchen Admit,3,125.08,0.19,28.21,27.97
ORD100058,2023-09-24,Shelby Brown,Australia,Clothing,Shoes,Shoes Myself,3,994.88,0.22,31.89,190.93
ORD100059,2025-03-14,Cory Schmidt,Canada,Electronics,Laptops,Laptops Movement,3,851.41,0.27,5.29,257.29
ORD100060,2024-10-08,Mary Tran,USA,Clothing,Shirts,Shirts Friend,5,232.6,0.02,6.68,213.63
ORD100061,2025-03-20,Jon Smith,UK,Clothing,Shoes,Shoes Its,5,131.78,0.11,27.11,40.41
ORD100062,2024-02-25,Rodney Clark,Australia,Electronics,Laptops,Laptops Improve,2,773.68,0.13,18.63,319.43
ORD100063,2024-11-28,Denise Davis,UK,Home,Decor,Decor Response,1,56.86,0.15,32.94,11.79
ORD100064,2025-02-19,Jenna Williams,Germany,Clothing,Shirts,Shirts Official,2,493.54,0.03,23.33,177.6
ORD100065,2024-07-05,James Newman,France,Home,Decor,Decor Possible,7,216.74,0.1,45.28,259.83
ORD100066,2024-09-28,Terry Cruz,Canada,Clothing,Jackets,Jackets Result,1,803.18,0.11,43.64,180.19
ORD100067,2024-07-21,Benjamin Dyer,USA,Electronics,Phones,Phones Manager,9,669.92,0.06,9.32,1062.3
ORD100068,2024-02-23,Cynthia Mann,UK,Home,Furniture,Furniture Have,9,551.07,0.08,6.86,873.33
ORD100069,2025-04-30,Deborah Wilkins,Germany,Home,Furniture,Furniture Else,2,865.04,0.02,49.79,221.53
ORD100070,2024-04-29,Christy Macias,France,Home,Decor,Decor Hold,2,259.71,0.24,47.53,59.44
ORD100071,2024-03-22,Brett Martin,UK,Clothing,Shirts,Shirts Hospital,5,384.38,0.02,38.18,470.75
ORD100072,2023-11-18,Charles Dixon,Canada,Clothing,Jackets,Jackets Crime,3,841.06,0.13,43.8,250.25
ORD100073,2024-03-24,Christina Jenkins,Australia,Home,Furniture,Furniture Center,6,643.08,0.14,31.39,621.13
ORD100074,2024-03-25,Darlene Prince,Canada,Clothing,Jackets,Jackets Morning,8,74.85,0.21,49.5,114.9
ORD100075,2024-11-28,Patricia Black,Australia,Home,Decor,Decor Fact,7,772.22,0.04,22.64,426.24
ORD100076,2025-01-09,Brian Welch,Australia,Clothing,Shirts,Shirts Difficult,7,710.35,0.17,18.55,605.14
ORD100077,2024-01-25,Marilyn Tucker PhD,Canada,Home,Furniture,Furniture Accept,9,182.87,0.22,45.29,365.41
ORD100078,2025-01-09,Sandra Evans,Germany,Clothing,Shoes,Shoes Floor,5,291.84,0.13,36.98,157.23
ORD100079,2025-04-05,Brian Hansen,India,Home,Kitchen,Kitchen Those,8,599.38,0.08,29.62,302.22
ORD100080,2025-03-12,Jenna Lopez,UK,Home,Kitchen,Kitchen My,9,295.33,0.2,10.47,327.27
ORD100081,2024-06-20,Wesley Klein,UK,Home,Decor,Decor Help,4,760.14,0.21,5.74,340.96
ORD100082,2023-11-13,Brian Chapman,UK,Electronics,Phones,Phones Garden,1,717.3,0.28,48.62,84.85
ORD100083,2023-11-22,Alyssa Hooper,France,Electronics,Accessories,Accessories Adult,10,271.86,0.26,7.18,252.16
ORD100084,2023-11-01,Christian Johnson,France,Electronics,Laptops,Laptops Evidence,9,819.11,0.26,22.24,1290.24
ORD100085,2023-12-21,Daniel Ball,Germany,Electronics,Accessories,Accessories Him,10,198.05,0.18,37.84,328.76
ORD100086,2024-10-25,Mary Williams,USA,Home,Decor,Decor Cup,1,863.51,0.27,7.35,48.62
ORD100087,2025-04-07,Megan Boyle,Canada,Electronics,Phones,Phones Particular,6,463.23,0.23,26.12,490.82
ORD100088,2025-04-02,Rhonda Floyd,Germany,Home,Kitchen,Kitchen Management,10,194.95,0.22,8.04,455.52
ORD100089,2025-01-25,Mark Ford,France,Home,Kitchen,Kitchen Political,5,585.63,0.0,45.73,301.81
ORD100090,2023-10-22,Julie Duarte,India,Clothing,Shirts,Shirts Along,8,770.65,0.06,24.93,1022.47
ORD100091,2024-03-22,Gregory Jones,Canada,Electronics,Laptops,Laptops Behind,4,974.01,0.15,15.66,936.48
ORD100092,2024-03-23,Travis Padilla,Australia,Electronics,Laptops,Laptops Yes,9,848.74,0.15,48.22,336.06
ORD100093,2024-01-27,Dominique Molina,France,Clothing,Jackets,Jackets Defense,1,145.19,0.02,49.71,39.29
ORD100094,2024-09-29,Heather Thompson,India,Clothing,Jackets,Jackets Song,4,798.8,0.2,9.5,334.35
ORD100095,2024-08-13,Charles English,UK,Clothing,Shirts,Shirts Sit,3,366.76,0.18,9.35,143.44
ORD100096,2025-01-24,Christopher Shaw,France,Clothing,Shoes,Shoes Middle,10,584.67,0.25,27.94,1290.8
ORD100097,2024-09-03,Mr. Kevin Hernandez MD,France,Home,Decor,Decor Thing,9,87.18,0.06,24.21,123.6
ORD100098,2023-07-18,Thomas Lopez,Australia,Electronics,Phones,Phones Put,7,156.05,0.13,48.07,246.8
ORD100099,2023-12-01,Tara Gallegos,India,Electronics,Phones,Phones Trial,9,388.04,0.05,29.36,843.58
ORD100100,2024-07-05,Brandy Figueroa,Australia,Home,Decor,Decor Visit,1,515.53,0.21,19.78,105.84
ORD100101,2024-11-05,Lisa Miller,Germany,Home,Decor,Decor Attorney,4,675.29,0.07,34.83,247.81
ORD100102,2024-06-02,Amanda Kent,Germany,Electronics,Phones,Phones Through,3,856.14,0.27,20.99,284.78
ORD100103,2024-06-19,Nathan Richards,USA,Electronics,Phones,Phones Let,9,530.37,0.12,30.65,799.57
ORD100104,2024-10-01,Karen Williams,India,Home,Kitchen,Kitchen Individual,6,717.72,0.08,10.93,391.5
ORD100105,2023-10-03,Cynthia Santana,Australia,Clothing,Shirts,Shirts Loss,3,871.26,0.26,21.62,244.17
ORD100106,2025-03-23,Todd Rhodes,India,Electronics,Accessories,Accessories Training,4,855.96,0.28,7.15,156.95
ORD100107,2024-04-03,Christopher Cooper,Australia,Electronics,Laptops,Laptops Total,5,710.04,0.18,41.79,571.4
ORD100108,2024-03-02,Leslie Beard,India,Electronics,Accessories,Accessories Available,6,989.24,0.14,9.11,275.0
ORD100109,2024-06-16,Rebecca Pitts,India,Home,Decor,Decor Large,3,935.74,0.28,38.78,202.03
ORD100110,2025-03-31,Zachary Adams,UK,Electronics,Accessories,Accessories Force,7,857.6,0.03,31.91,1685.35
ORD100111,2025-06-15,Michelle Daniels,Canada,Electronics,Laptops,Laptops Heart,10,732.0,0.12,43.12,383.37
ORD100112,2024-03-25,Shannon Murphy,Australia,Home,Decor,Decor Far,2,955.9,0.18,49.68,381.77
ORD100113,2024-06-18,Paul Henderson,UK,Electronics,Phones,Phones After,3,667.72,0.3,48.52,107.67
ORD100114,2024-08-06,Carol Medina,India,Clothing,Shoes,Shoes Scientist,5,578.75,0.26,45.64,532.27
ORD100115,2024-03-05,Nicole Sandoval,UK,Clothing,Shoes,Shoes Science,6,534.26,0.22,36.68,139.79
ORD100116,2024-08-11,James Miller,Australia,Electronics,Accessories,Accessories Sport,1,865.27,0.07,21.36,213.23
ORD100117,2023-07-30,Darren Bates,Germany,Clothing,Jackets,Jackets Large,2,839.88,0.13,49.9,364.07
ORD100118,2025-04-20,Christina Bradshaw,France,Clothing,Jackets,Jackets Walk,7,748.17,0.08,11.68,1130.63
ORD100119,2023-09-18,Arthur Young,Germany,Electronics,Laptops,Laptops Economic,7,611.58,0.1,24.7,663.64
ORD100120,2024-09-05,Heather Galloway,USA,Clothing,Jackets,Jackets Investment,2,165.9,0.13,29.77,44.02
ORD100121,2025-02-24,Nathan Evans,Germany,Home,Kitchen,Kitchen I,3,335.92,0.04,6.99,215.66
ORD100122,2024-06-18,Charles Chaney,USA,Electronics,Laptops,Laptops Drop,1,822.61,0.13,25.72,187.79
ORD100123,2025-03-27,Tyler Mcclain,France,Home,Kitchen,Kitchen Family,10,599.63,0.16,10.58,1329.11
ORD100124,2024-10-27,Richard Alexander,India,Clothing,Shirts,Shirts Cultural,4,450.27,0.02,38.27,392.25
ORD100125,2025-04-28,Rachel Johnson,France,Home,Decor,Decor Long,2,737.02,0.21,33.14,68.43
ORD100126,2024-11-02,Norma Johnson,Canada,Clothing,Jackets,Jackets Next,10,770.99,0.03,16.18,1087.29
ORD100127,2025-04-09,Kevin Chen,India,Electronics,Accessories,Accessories Responsibility,7,49.15,0.1,23.77,26.51
ORD100128,2024-04-23,Katie Lucas,France,Home,Decor,Decor Surface,6,977.91,0.08,33.0,1396.51
ORD100129,2024-11-21,Nancy Taylor,USA,Clothing,Jackets,Jackets Manager,2,924.37,0.26,38.31,223.46
ORD100130,2024-03-16,Nicole Wilson,USA,Clothing,Jackets,Jackets President,1,475.24,0.24,9.21,60.3
ORD100131,2024-12-28,Scott Robles,Canada,Clothing,Shoes,Shoes Wife,9,524.49,0.14,9.93,410.84
ORD100132,2024-12-06,Lucas Moon Jr.,USA,Home,Kitchen,Kitchen Mean,8,792.66,0.09,47.44,463.21
ORD100133,2023-07-14,Heather Nichols,Australia,Electronics,Accessories,Accessories Court,9,385.98,0.26,29.59,561.32
ORD100134,2024-03-07,Mark Harris,France,Home,Decor,Decor Name,10,124.97,0.18,29.22,53.52
ORD100135,2023-07-28,Billy Rogers,UK,Home,Furniture,Furniture At,10,687.81,0.11,23.43,330.85
ORD100136,2025-05-29,Jerome Rodriguez,Germany,Electronics,Laptops,Laptops Recent,7,784.87,0.13,48.07,880.65
ORD100137,2023-11-21,Kenneth Mccall,India,Electronics,Laptops,Laptops Executive,8,985.91,0.11,35.43,920.69
ORD100138,2024-02-28,Mary Franklin,UK,Home,Furniture,Furniture Form,9,375.9,0.02,46.0,879.3
ORD100139,2025-04-30,Megan Boyd,UK,Home,Decor,Decor Positive,10,483.59,0.06,43.81,347.71
ORD100140,2024-02-29,Randy Lester,USA,Electronics,Laptops,Laptops Service,3,82.44,0.09,8.19,11.53
ORD100141,2023-08-23,Edward Hudson,India,Electronics,Phones,Phones Surface,5,543.54,0.1,40.92,236.18
ORD100142,2024-06-07,Jessica Hendricks,Canada,Electronics,Phones,Phones Economy,5,971.56,0.13,45.27,991.94
ORD100143,2024-09-01,Mark Travis,India,Electronics,Laptops,Laptops Process,3,499.02,0.19,16.76,98.44
ORD100144,2024-02-12,Stephanie Whitaker,Canada,Clothing,Shirts,Shirts Force,3,423.56,0.17,17.15,242.97
ORD100145,2025-01-09,Joseph Vance,India,Home,Furniture,Furniture Eight,8,978.38,0.08,32.74,557.9
ORD100146,2023-10-06,Michael Reyes,UK,Electronics,Phones,Phones State,10,182.89,0.23,28.04,159.55
ORD100147,2024-09-26,Jenna Austin,Canada,Clothing,Jackets,Jackets Practice,2,977.88,0.02,14.61,121.22
ORD100148,2023-09-26,Gene Garcia,Australia,Clothing,Jackets,Jackets Away,2,422.25,0.12,29.22,89.49
ORD100149,2024-10-14,Russell Anderson,France,Home,Decor,Decor Food,4,783.89,0.22,9.06,497.51
ORD100150,2024-02-11,Julie Taylor,USA,Clothing,Shoes,Shoes Throughout,1,683.8,0.13,26.49,167.27
ORD100151,2023-12-09,Madison Cunningham,USA,Clothing,Jackets,Jackets Away,4,548.32,0.24,33.54,304.33
ORD100152,2024-01-16,Claudia Cole,USA,Clothing,Shoes,Shoes Country,8,269.63,0.17,20.27,116.11
ORD100153,2024-05-09,Heather Espinoza,Germany,Home,Furniture,Furniture She,3,961.31,0.16,49.9,578.05
ORD100154,2023-10-09,Spencer Moore,UK,Home,Decor,Decor Purpose,6,146.84,0.21,20.16,175.14
ORD100155,2023-10-01,Dr. Gregory Evans,Germany,Home,Furniture,Furniture Interesting,8,577.44,0.24,40.59,677.76
ORD100156,2024-06-18,Jonathan Brown,France,Clothing,Shoes,Shoes National,5,994.11,0.23,35.01,597.11
ORD100157,2025-06-24,Angel Johnson,UK,Home,Decor,Decor View,3,601.32,0.17,7.88,282.74
ORD100158,2023-12-09,Erica Hendrix,Australia,Clothing,Shoes,Shoes Need,1,677.31,0.14,39.35,55.27
ORD100159,2024-08-20,Raymond Curry,Canada,Clothing,Shoes,Shoes Water,10,937.89,0.26,29.97,640.39
ORD100160,2025-05-09,John Tanner,UK,Clothing,Shoes,Shoes Since,3,58.27,0.1,44.45,22.23
ORD100161,2023-08-11,Amy Valdez,Australia,Electronics,Phones,Phones Little,3,22.18,0.21,31.24,6.89
ORD100162,2023-07-24,Susan Garcia,Germany,Home,Kitchen,Kitchen Stand,7,205.07,0.09,6.2,244.95
ORD100163,2023-08-15,Jonathan Benson,Canada,Clothing,Shoes,Shoes Pull,7,312.35,0.04,19.15,624.78
ORD100164,2025-05-12,Ricky Stewart,UK,Electronics,Phones,Phones Number,8,490.04,0.25,6.52,434.69
ORD100165,2023-10-26,Alyssa Short,Australia,Home,Kitchen,Kitchen Magazine,2,478.12,0.26,47.9,160.48
ORD100166,2025-04-05,Tara Ramos,Germany,Clothing,Shoes,Shoes Energy,6,245.54,0.1,7.77,135.52
ORD100167,2024-10-19,Gilbert James,Germany,Electronics,Laptops,Laptops In,5,902.98,0.1,38.91,551.66
ORD100168,2025-02-16,James Cook,Canada,Clothing,Shirts,Shirts Fear,2,833.95,0.0,10.41,205.85
ORD100169,2024-01-03,Colleen Harvey,UK,Home,Furniture,Furniture Party,1,280.92,0.19,14.62,52.8
ORD100170,2025-06-15,Holly Evans,Australia,Clothing,Shirts,Shirts Not,6,871.52,0.08,48.33,1240.0
ORD100171,2024-06-07,Cody Bruce,USA,Home,Furniture,Furniture During,8,927.98,0.21,24.16,1229.2
ORD100172,2023-09-13,Deborah Brown,France,Home,Furniture,Furniture Need,4,511.6,0.02,42.95,128.96
ORD100173,2025-04-02,David Love,Germany,Electronics,Laptops,Laptops Question,10,748.99,0.03,44.93,811.79
ORD100174,2024-01-13,Jordan Hill PhD,Australia,Electronics,Phones,Phones Several,5,745.33,0.12,16.75,478.55
ORD100175,2024-10-12,Kelly Smith,UK,Clothing,Shirts,Shirts Low,8,494.81,0.21,43.58,214.52
ORD100176,2024-09-05,Carlos Reed,Germany,Clothing,Shirts,Shirts Ability,7,777.98,0.25,47.49,309.11
ORD100177,2024-05-09,Michelle Vega,Germany,Clothing,Shirts,Shirts Education,4,74.72,0.26,34.53,63.88
ORD100178,2024-10-14,Angela Andrews,UK,Home,Decor,Decor Wish,7,745.68,0.18,47.89,340.29
ORD100179,2025-05-20,James Mason,India,Clothing,Jackets,Jackets Other,7,414.41,0.21,18.17,443.62
ORD100180,2024-07-14,Wayne Hamilton,India,Home,Furniture,Furniture Medical,9,539.96,0.26,47.9,697.65
ORD100181,2025-02-02,Todd Bowman,UK,Home,Furniture,Furniture Hand,4,211.47,0.06,21.69,78.33
ORD100182,2023-07-14,Jessica Owens,India,Home,Decor,Decor Management,3,861.01,0.27,18.64,503.26
ORD100183,2024-06-24,Phillip Coffey,Germany,Electronics,Accessories,Accessories Difference,6,811.2,0.04,16.59,1286.26
ORD100184,2024-07-08,Jamie Lopez,USA,Home,Decor,Decor Effort,8,732.3,0.17,16.78,532.0
ORD100185,2023-11-21,Katherine Yoder,UK,Home,Furniture,Furniture Work,2,838.89,0.3,11.23,246.18
ORD100186,2024-06-02,Kelly Lynch,Australia,Home,Decor,Decor Strategy,5,138.7,0.03,11.34,40.58
ORD100187,2024-10-20,Frank Gross,Germany,Electronics,Accessories,Accessories Factor,5,380.73,0.0,40.49,158.69
ORD100188,2025-01-19,Shawn Cuevas,Germany,Home,Decor,Decor Its,7,405.42,0.11,12.79,756.95
ORD100189,2024-08-29,Leslie Odonnell,Canada,Electronics,Laptops,Laptops Score,5,187.76,0.19,21.65,70.67
ORD100190,2024-03-10,Dr. Joan Jones,Australia,Clothing,Shirts,Shirts Create,6,405.91,0.08,11.21,134.18
ORD100191,2024-02-03,Robert Estrada,France,Electronics,Accessories,Accessories Drive,7,425.83,0.17,43.59,512.88
ORD100192,2024-05-17,John Weaver,Australia,Home,Kitchen,Kitchen Walk,3,612.79,0.23,43.48,178.0
ORD100193,2024-07-20,Jared Glover,USA,Home,Decor,Decor Meeting,7,119.94,0.14,5.3,89.29
ORD100194,2023-11-30,Angela Gibson,USA,Electronics,Phones,Phones Down,4,640.56,0.2,19.03,189.49
ORD100195,2024-09-04,Scott Hicks,UK,Clothing,Jackets,Jackets Network,1,50.12,0.04,12.47,13.89
ORD100196,2023-11-11,Mason West,India,Clothing,Shoes,Shoes Specific,4,966.87,0.14,42.74,435.97
ORD100197,2024-12-26,Dustin Perez,USA,Home,Furniture,Furniture City,6,500.28,0.22,32.69,321.23
ORD100198,2024-08-31,Erin Rodriguez,UK,Electronics,Laptops,Laptops National,9,201.78,0.17,28.82,256.47
ORD100199,2024-12-23,Jacob Ho,Australia,Clothing,Shoes,Shoes Security,5,391.46,0.21,39.45,279.19
ORD100200,2025-01-09,Jamie Garcia,UK,Home,Decor,Decor Exactly,1,197.63,0.25,10.88,40.31
ORD100201,2024-09-28,Mario Carpenter,USA,Home,Kitchen,Kitchen Total,7,751.59,0.1,33.8,1275.74
ORD100202,2023-10-30,Alexander Nguyen,UK,Clothing,Jackets,Jackets List,2,427.32,0.3,12.59,64.89
ORD100203,2024-03-22,Angela Duffy,Australia,Clothing,Jackets,Jackets Yourself,7,124.01,0.02,38.81,212.31
ORD100204,2024-01-18,Jamie King,India,Home,Kitchen,Kitchen Such,7,118.34,0.08,20.57,47.9
ORD100205,2024-08-30,Joseph Gonzalez,Australia,Home,Furniture,Furniture Increase,6,492.43,0.13,32.51,305.91
ORD100206,2025-03-31,Gregory Leon,India,Electronics,Accessories,Accessories Attention,1,546.64,0.09,33.12,58.65
ORD100207,2024-11-18,Courtney Moore,India,Home,Kitchen,Kitchen Degree,2,900.67,0.09,20.03,238.96
ORD100208,2025-03-17,Albert Glover,Australia,Home,Furniture,Furniture Business,3,923.97,0.22,32.1,222.24
ORD100209,2024-04-28,April Escobar,France,Electronics,Laptops,Laptops Them,7,994.34,0.11,49.9,1301.39
ORD100210,2023-08-14,Jeffrey Barker,Germany,Clothing,Shirts,Shirts Nature,6,580.93,0.27,29.77,534.24
ORD100211,2024-03-31,Allison Benjamin,Germany,Home,Kitchen,Kitchen Guess,10,972.48,0.13,15.9,752.87
ORD100212,2023-11-09,Andrew Griffin,Australia,Clothing,Shoes,Shoes Manager,1,980.91,0.2,25.87,96.59
ORD100213,2023-10-30,Donna Reed,UK,Home,Kitchen,Kitchen Store,9,757.89,0.02,35.35,1050.47
ORD100214,2024-08-31,Kathryn West,Canada,Electronics,Phones,Phones Thousand,5,685.65,0.29,47.9,692.99
ORD100215,2023-11-01,Mary Allen,Canada,Clothing,Shirts,Shirts Make,2,719.29,0.28,40.84,186.59
ORD100216,2024-02-14,James Reynolds,Germany,Electronics,Phones,Phones Professional,1,739.67,0.19,7.56,45.85
ORD100217,2025-02-11,Hannah Garner DVM,UK,Electronics,Laptops,Laptops Be,10,805.76,0.08,47.89,869.68
ORD100218,2025-01-01,George Morgan,Canada,Home,Kitchen,Kitchen Increase,2,338.35,0.24,34.15,99.32
ORD100219,2024-04-19,Alicia Brown,France,Electronics,Laptops,Laptops Behind,3,956.93,0.03,48.86,208.17
ORD100220,2024-02-02,Isaac Williams,Australia,Clothing,Shoes,Shoes Successful,1,956.44,0.02,21.94,120.43
ORD100221,2023-06-29,Mark Miller,UK,Home,Decor,Decor Maintain,6,955.54,0.12,36.06,1480.68
ORD100222,2023-10-03,Cassandra Alvarez,Canada,Electronics,Phones,Phones Bill,2,700.98,0.29,41.93,186.33
ORD100223,2025-01-25,Pamela Hall,USA,Clothing,Jackets,Jackets Population,8,481.8,0.14,43.82,967.19
ORD100224,2025-02-11,Emily Walker,Germany,Electronics,Accessories,Accessories International,4,442.29,0.28,23.39,342.29
ORD100225,2024-01-16,Joanne Becker,Australia,Electronics,Phones,Phones Admit,4,880.96,0.1,22.58,816.98
ORD100226,2025-05-03,Jose Walker,Germany,Clothing,Jackets,Jackets Seek,3,933.21,0.09,12.92,589.47
ORD100227,2024-03-11,Natalie Wheeler,India,Electronics,Phones,Phones Part,2,229.13,0.17,42.17,64.59
ORD100228,2023-11-14,Brandon Oliver,Germany,Clothing,Shoes,Shoes Quickly,5,577.59,0.29,43.2,576.05
ORD100229,2024-06-28,Allison Boyd,Australia,Electronics,Laptops,Laptops Head,8,631.5,0.18,27.81,956.19
ORD100230,2024-12-13,Jermaine Holland,USA,Clothing,Shoes,Shoes Here,3,45.11,0.1,39.54,8.98
ORD100231,2024-12-21,Lisa Hopkins,UK,Electronics,Laptops,Laptops Collection,4,926.82,0.07,22.21,720.79
ORD100232,2025-04-17,Jeremy Oconnor,France,Clothing,Shirts,Shirts Speak,9,592.51,0.13,40.96,369.93
ORD100233,2023-10-07,Timothy Hahn,Canada,Home,Furniture,Furniture Eye,9,985.89,0.14,7.4,1155.94
